,mean,cvar,min,max,Q_0,mean_test,max_test,cvar_test
0,-1.8808948334435402,0.009617703063362057,-17.11027172480905,0.01770253783677477,[1.0038628e-05],-1.6541726215281483,0.018163243060925316,0.00952266389634731
1,-1.8827282452502028,0.017067947591469266,-16.51927555238464,0.15803095288366514,[3.9269593],-1.664341346924815,0.10559601519591139,0.013111645222521406
2,-1.8829083031491685,0.0042368028440417475,-16.358825673101595,0.14770235433272083,[3.6575506],-1.6683462804291294,0.10530053292445005,-0.0008096419166417881
3,-1.885093816752207,0.020992556977919553,-16.14051205711339,0.233335974201832,[3.62396],-1.6726654871046873,0.1988075874481527,0.015337276305079526
4,-1.8876655809075638,0.03651361146789244,-15.895645000303306,0.31682532959149623,[3.5277128],-1.678047614723313,0.29990231937226347,0.03205426778458165
5,-1.8839970893339864,-0.0007473063032834592,-15.433997539965283,0.25443790180623793,[3.3985515],-1.6869527041987966,0.19297685910350457,-0.01260344635257897
6,-1.8876718877948961,0.011188585764220238,-14.797806714097831,0.4002613481816987,[3.409819],-1.7003752208714857,0.3178853715680826,0.003979308475708978
7,-1.8833624241315192,-0.02705424590062796,-14.524939136313769,0.2771667448815506,[3.3362434],-1.7062870680816287,0.1977625417739693,-0.04088127833985562
8,-1.883636919133918,-0.037856089032062806,-14.14636721020798,0.29670248448631065,[3.31876],-1.714676037074124,0.1956179453588166,-0.051686423535749385
9,-1.8850580074145882,-0.030453598586401086,-14.033966214745448,0.32558227752799673,[3.3203397],-1.7175636386033917,0.23113317815448708,-0.04175594760491167
10,-1.8830806165788314,-0.040032192279727,-13.42770836109495,0.33588437926879244,[3.3014097],-1.7295188254476759,0.23494995967658827,-0.05298333898769122
11,-1.8805126513256756,-0.06385541586615953,-13.146293949352657,0.24426258300897907,[3.279251],-1.736331427418654,0.18042608481626,-0.08257202984856069
12,-1.8783911675750966,-0.08238928909905424,-12.85787331030054,0.18657915773868944,[3.1995301],-1.7441242626465867,0.11492113637571788,-0.10067287056660014
13,-1.8814118889592477,-0.0762111036261686,-12.62986298578343,0.2485360722307799,[3.2095497],-1.7494730064982227,0.19840840877433785,-0.08852506366452087
14,-1.8787617699447774,-0.08604523142179014,-12.970383316496788,0.13341448431730651,[3.1151636],-1.7425603259154203,0.10313865557319296,-0.10319230128323305
15,-1.8780513035755788,-0.09661212208529796,-12.09391294671327,0.1443551233973161,[3.1417773],-1.7611113175446431,0.1442074545495707,-0.11162783592254938
16,-1.8766630937663427,-0.09965458258669097,-12.369748910458716,0.11870458936043882,[3.0619524],-1.756629546394996,0.06294486014012646,-0.11531974748023799
17,-1.8706941758257358,-0.09478699311354429,-12.322874361353227,0.09618539788653835,[3.109701],-1.7573964386476582,0.17656954285284854,-0.11845648082962908
18,-1.880733717499293,-0.10367835900598803,-12.13240009775297,0.2593014760263981,[3.0139577],-1.7642070611890748,0.12801633163905324,-0.10653282353675764
19,-1.8819173043830997,-0.09885575082970455,-12.190806845243467,0.2933081415147148,[3.0330968],-1.7630974733701428,0.15151653593933434,-0.10073501987775638
20,-1.872462022421445,-0.10887077921215148,-11.967126567112542,0.18058522760526952,[3.0698283],-1.770091374105575,0.23716964530710571,-0.12276350010835388
21,-1.8789007973295884,-0.11168111489256441,-11.726244077921173,0.3276865821237577,[2.9757442],-1.7750846682255264,0.1820668047265152,-0.11343371820655887
22,-1.87340179470466,-0.11760248652777579,-10.907966792416651,0.2341093646683332,[3.0251157],-1.7911898167693006,0.1974419391367589,-0.13091539374149477
23,-1.8744768703235903,-0.11770810749729782,-10.935960743197867,0.28866406303714376,[2.91045],-1.7910102521106646,0.21672024279036994,-0.12969051709621962
24,-1.8738893561386936,-0.11228486178999052,-11.400469822961995,0.31797482100100116,[2.5212297],-1.783559166918521,0.26114477039725525,-0.12605670890045267
25,-1.8662459509976903,-0.011259265072281423,-13.178949173485869,0.46457270687901664,[1.6744678],-1.7485337271487718,0.6046741124577744,-0.03397278354284671
26,-1.8675212037792126,-0.007114855342033643,-13.452781594733045,0.4667911077912245,[1.2582417],-1.7427858982010298,0.5762531354784624,-0.028554646672970314
27,-1.871187627446267,-0.0529198734295902,-12.95830278079512,0.35092999355680066,[1.0766499],-1.7531980478693607,0.44741359134068864,-0.06772767706093231
28,-1.874799852002242,-0.08641048475979246,-12.633774372610272,0.23836170141883195,[0.9773524],-1.7590419183829968,0.34617114201811017,-0.09592991059436884
29,-1.8763895421495154,-0.09893020623190633,-12.337317726653602,0.2713522813134816,[0.88088465],-1.7653673904166893,0.32018711029269786,-0.10575514161203887
30,-1.8780392514666864,-0.10834200330518103,-12.108620484986544,0.30477957904811487,[0.8540695],-1.7695302067302605,0.2837663783903099,-0.11307767187398371
31,-1.8768517285238027,-0.11263124719207135,-12.051995345660831,0.24353429870152593,[0.83235],-1.7696727166702213,0.25428068612968535,-0.1194724220856623
32,-1.8773277997183841,-0.11783277652197169,-11.905938234234833,0.24331914765837181,[0.8055837],-1.7719063780844466,0.227372501119948,-0.12495565906480843
33,-1.8772593728417237,-0.11876574976226793,-11.869108960374028,0.25635753361265196,[0.7807455],-1.7726716918850258,0.24033558448075554,-0.12670991313138844
34,-1.879373063939353,-0.12391811075005311,-11.805421094524204,0.2705139869291524,[0.76881146],-1.7738832158816153,0.2100683021997993,-0.12543408694908142
35,-1.8802913767814557,-0.12747540460115073,-11.77808453825352,0.25987408508296544,[0.7178328],-1.7740496682273197,0.184214896050949,-0.12611291626986829
36,-1.8800916456049068,-0.1322085974753274,-11.687343323314956,0.22297040895230985,[0.69162846],-1.7747675298190124,0.14718269391012526,-0.13188955424484278
37,-1.8803433619026901,-0.13473459877043586,-11.478286635007603,0.22440610382349435,[0.6926689],-1.7794128464195214,0.16766797072493134,-0.13434572055257507
38,-1.8803849056436936,-0.13577764272636472,-11.404414894084976,0.23540136884258767,[0.73340416],-1.7812286741328676,0.1934020973384776,-0.13566229950594533
39,-1.8805322293322475,-0.13945425041447732,-11.340911491010093,0.20511886861488837,[0.6110394],-1.781541362129623,0.16275448700738565,-0.1393112372027474
40,-1.8802405593216487,-0.14093891543108844,-11.285924769564843,0.19157743663229077,[0.6435559],-1.7815855464683712,0.1493548974352666,-0.14334224423507652
41,-1.8784331508788805,-0.1433023852314052,-11.059522592277906,0.19176030133695565,[0.70351934],-1.7867808318355278,0.20320171326411093,-0.14917048431430632
42,-1.878183900479768,-0.1496162673582079,-10.877146775422279,0.17306088712381984,[0.6902549],-1.7899859291643432,0.17385219441732522,-0.15536430350239816
43,-1.8780510255854261,-0.1569230958741876,-10.617267161090165,0.14664861895667647,[0.65598726],-1.7943571489931476,0.13331223601047903,-0.1636976854701099
44,-1.8786306312011272,-0.16313254223308843,-10.375360294471662,0.15355345812096255,[0.6558106],-1.7996884191001383,0.14636859639580857,-0.1670545098839518
45,-1.8797705809201648,-0.16870731645138015,-9.967151873422631,0.1787260917730742,[0.6196346],-1.8088915165140833,0.16736911874257093,-0.16933996047544056
46,-1.8802047242145281,-0.17243467377828176,-9.761213630860828,0.1871964245707195,[0.61594677],-1.8132300218479813,0.17861772477030635,-0.17133713507156073
47,-1.8791322049647743,-0.17845094488309624,-9.567925115147153,0.1539139889423038,[0.61696196],-1.8163835810373627,0.16808314410755193,-0.17773847337511822
48,-1.8789740818830694,-0.18243170360205363,-9.249717111021416,0.15564815479821248,[0.63583374],-1.8233313828334667,0.18733094156401003,-0.17870088409470206
49,-1.8778950125295266,-0.18670905331773155,-8.969608767350788,0.1322531216800531,[0.5275593],-1.8282295655236813,0.17615712256279492,-0.18415783405668848
50,-1.878263342304669,-0.18875702811339312,-8.538521043032686,0.14082419493242404,[0.54154205],-1.8368816645347374,0.1804335103115453,-0.18628662272729277
51,-1.8796896229102442,-0.19099232617158576,-8.387142292995408,0.13442885088186463,[0.4587164],-1.8390112290079215,0.1575323626980088,-0.1884432888911158
52,-1.8845310132869968,-0.18583869860987876,-8.381445794241774,0.2436544838968684,[0.51491714],-1.8394463522188074,0.1533103337403856,-0.17782874430704848
53,-1.8893243748536588,-0.17076890681924387,-8.434186587336498,0.3726277141647423,[0.5069945],-1.8391909858864715,0.25153247775631876,-0.1549449995892248
54,-1.895279486704665,-0.14254165517639403,-8.30358100033687,0.4954021013847266,[0.3425851],-1.842353435684221,0.38715349464088056,-0.1183959252994124
55,-1.8993131063953925,-0.1158822558943833,-8.190749582884264,0.6042135309791559,[0.4811592],-1.8449946326442737,0.48254646559579517,-0.08464379641362564
56,-1.899182793752437,-0.11932519494863697,-8.20608870358302,0.621525837517799,[0.45994425],-1.8447900056520725,0.48993681422293656,-0.08733601458693378
57,-1.9050417459899884,-0.07212757265685381,-8.193828229382335,0.7721417529978595,[0.55505896],-1.8458441308551616,0.6273210101948374,-0.035684327197151706
58,-1.904641478621675,-0.07998395325943068,-8.195267692565906,0.7561088340967553,[0.5450671],-1.8453640798144275,0.615520271953484,-0.0435627499794199
