,mean,cvar,min,max,Q_0,mean_test,max_test,cvar_test
0,1.881226739278769,8.24183816471142,-0.01004090458447653,17.072836307660502,[1.0038576e-05],1.6547858040577572,15.686571510436863,7.533237722678282
1,1.8820401148028023,7.9050505666112505,-0.08544345437907144,16.339045874504095,[7.5873127],1.669865011202258,15.051024847937905,7.22799342294298
2,1.88306628561855,6.922479495731643,-0.24957212807691653,14.261296212410054,[10.053203],1.7129434984298346,13.182128993834295,6.332760044812201
3,1.8834841991424556,5.7507881925927675,-0.42502623539012163,11.768195805875196,[9.540884],1.764593899142083,10.931297481642488,5.27459071047828
4,1.8824598251202045,4.861910099658528,-0.5746907479484696,9.135732388229158,[8.65706],1.8190298653932495,8.555488432143555,4.666598963623084
5,1.8788883793597606,4.770558219054102,-0.555247051218467,8.175500417265678,[7.7300997],1.8527848547245467,7.428085798172662,4.90272108723772
6,1.8722463113141756,4.728655567545562,-0.4031440367126601,7.914820549091626,[7.459165],1.851913488985554,7.374425981765736,4.870808590459229
7,1.865743706210966,4.6957960755749095,-0.31765872895860947,7.805630290356024,[7.0991383],1.847384106492264,7.202508340069407,4.814767557399688
8,1.862354861730933,4.687056494871695,-0.3064770703277957,7.662905693656379,[7.1477904],1.8500432925610903,7.316789113811706,4.8417731752952236
9,1.8614008207660413,4.678004775139161,-0.30485393597632515,7.672305851505513,[7.15185],1.8495595529238185,7.295555393252451,4.831958950476223
10,1.8594393181972337,4.668366186196728,-0.2854634148791373,7.7061972049283565,[6.9491014],1.8488555170444336,7.281132491972402,4.821616732628768
11,1.8589218379279928,4.65981599842391,-0.2990927046327101,7.73135739750432,[7.319443],1.847558806734433,7.2488701784729574,4.806552696320293
12,1.8597751611471445,4.679105728936193,-0.3453043253341055,7.821942721594113,[7.349998],1.8557036278886718,7.523492393005418,4.890754449920536
13,1.8572539935582468,4.66020214308198,-0.35595885489745815,7.665883788636365,[7.0801144],1.8536764728242892,7.4413381508202985,4.858713159073666
14,1.857067991527731,4.656738512886167,-0.36110080816286194,7.697935516558401,[7.10698],1.8546266907120834,7.461723983491232,4.866891542726923
15,1.8578613744045476,4.633870553455537,-0.3621145779919295,7.529994670345534,[6.988601],1.850223581842701,7.282360054710995,4.8078395018569635
16,1.8569943987630966,4.632388828366334,-0.38552406078222257,7.5710540954334204,[7.2047777],1.8509847582228411,7.2950651583558965,4.817148320689177
17,1.8566724411498923,4.638049551257297,-0.4310422395904545,7.698740696344098,[7.2307415],1.8535634325076427,7.390636286258543,4.847741241219269
18,1.856551232130173,4.624588947155686,-0.4411340527695635,7.649378515456523,[7.3249354],1.851964861051261,7.33056934096599,4.823542556064407
19,1.8569705516951271,4.609531474111499,-0.4622739647865026,7.5833571230103445,[7.102695],1.849823425758237,7.237921660506029,4.792113866117679
20,1.8579739609071682,4.620785716551859,-0.44867997836782836,7.767801016140861,[7.1212406],1.8552171883236988,7.389964709669773,4.836662227771432
21,1.8564766850863401,4.5928228049160715,-0.4594301574026296,7.574048327748907,[7.022887],1.8506388732913595,7.224527040306565,4.780006195246084
22,1.8567140073723258,4.614865573635832,-0.4809957727696943,7.820733659066175,[7.050955],1.857058077117352,7.433598208626911,4.850709790104778
23,1.857901086591602,4.569688607206493,-0.47199231233147243,7.5691524366592775,[7.0330896],1.8504119993465689,7.182809954495517,4.748254452432017
24,1.8588298766819387,4.597657263454093,-0.4683086689225182,7.8840194231927585,[7.1590443],1.8573465297652496,7.430424702093196,4.826755406774329
25,1.857891038979116,4.585395259256831,-0.5044426587721487,7.839329167965619,[7.211103],1.8570341592420827,7.393345607823174,4.815148630247889
26,1.8564281719675622,4.557444714093059,-0.5557463660491964,7.691413376494356,[6.9512277],1.853098146126012,7.265158363941072,4.759199778231831
