,mean,cvar,min,max,Q_0,mean_test,max_test,cvar_test
23,-0.44174960692068405,-0.024661698894007555,-2.8443023393959113,0.020001225516969184,[0.07785726],-0.44418596666186244,0.020902227193621586,-0.023208496719071093
24,-0.4421324921818995,-0.025321766676478737,-2.8118363274769074,0.020206465270758877,[0.07526684],-0.444614887021221,0.02117246021430229,-0.023775742323070573
25,-0.4422246306806148,-0.025662172820901868,-2.8029493368499043,0.019069148113188134,[0.08386683],-0.44470613226194805,0.020188542847460536,-0.024107751838821443
26,-0.4425438903655435,-0.026246310855594267,-2.7758592751553204,0.019007080104442204,[0.08722317],-0.4450569859955283,0.020244773927142565,-0.02455306485905023
27,-0.44262053198783885,-0.026518894212438363,-2.768371526645044,0.018241129611434787,[0.07522583],-0.44513267832890585,0.019607970633261224,-0.024795624597479346
28,-0.44293576303292015,-0.027126755431822372,-2.7413553583452055,0.017976149232845712,[0.09020972],-0.44548037558991826,0.019446715841707818,-0.025282173799195683
29,-0.44331265358170346,-0.027802279914879508,-2.7093718866639227,0.017967200244521135,[0.08818579],-0.44589781661164035,0.019535616019144733,-0.025800365988119297
30,-0.44360836574995915,-0.028371430520859216,-2.6838651450733604,0.017630294894313094,[0.09129381],-0.44622311468566517,0.019324658014291965,-0.026254766210069596
31,-0.44354447407207676,-0.028489421562412208,-2.687664536922402,0.01639554851033041,[0.08243597],-0.4461358147889763,0.018191469318810244,-0.026398412014237933
32,-0.44383117428451974,-0.02903496843165716,-2.662960883436919,0.01601972167276383,[0.09150803],-0.4464489250208043,0.017968421762616718,-0.02682707466233165
33,-0.44391230253852343,-0.029345432507554302,-2.6549601238256297,0.015050287506115197,[0.07079983],-0.44652393598419127,0.01710234549881469,-0.02709017113990309
34,-0.44421669412431164,-0.0298865904334259,-2.6288077909768135,0.014760101786753209,[0.07225513],-0.44685757956441624,0.016994263736624007,-0.027513499928667823
35,-0.44427005951929505,-0.030156171831512604,-2.623011241439602,0.013751398216909058,[0.07941747],-0.44690155519076413,0.016086203781858183,-0.02773919202622743
36,-0.44449659191884117,-0.03061468334580787,-2.6031897102397163,0.013209806618516819,[0.07129335],-0.44714343633903864,0.015717152787342856,-0.028074415408233456
37,-0.44449767912919463,-0.030829744029193428,-2.601641345330112,0.012114806542333247,[0.08440363],-0.4471290029607488,0.014677059440185505,-0.028264147673276993
38,-0.4450774033536412,-0.03164206195952995,-2.553139379223079,0.012602310058155333,[0.10191667],-0.44777609605538804,0.015316110464562507,-0.028815365771608398
39,-0.44511440772364624,-0.03194148683888978,-2.548320345768757,0.011346363560304738,[0.0700351],-0.4478060845450311,0.014204978616715033,-0.029078987592950422
40,-0.4448674688451007,-0.03187500353181536,-2.5670778040128237,0.009607678073876996,[0.07234073],-0.4475000649867362,0.012570054570481243,-0.029038498394109484
41,-0.44505563668022535,-0.03231553368968299,-2.5502380695139264,0.008815757925648031,[0.06598473],-0.4476978753951713,0.011931381410142966,-0.029361306241638
42,-0.4452395680309917,-0.03271587776175758,-2.533841038501751,0.008111455164144944,[0.08141851],-0.4478920053977366,0.011403100562764154,-0.029636964437128106
43,-0.4453617025912978,-0.033058785358515676,-2.5223727310221205,0.007304887702430374,[0.06603527],-0.44801554593707854,0.010704136108627471,-0.02990090781306787
44,-0.44536212913972656,-0.033249817877765285,-2.5209149732800213,0.00627669216406769,[0.07227206],-0.4479985073103072,0.009786304759573178,-0.030056834439438993
45,-0.4454801581652553,-0.03355230318161928,-2.5098749727777196,0.005476537430871821,[0.08948994],-0.4481187830959153,0.009149594446973427,-0.030286813560254772
46,-0.44545664573497357,-0.033736700370816594,-2.51025969782507,0.004300067268758513,[0.06416035],-0.448071558486502,0.008080696614334346,-0.030436138564311866
47,-0.4457221633458765,-0.03421057106039187,-2.486932699519172,0.003604630387996424,[0.06198454],-0.44835908203161795,0.007575803244626228,-0.030807798398710423
48,-0.4458440628707139,-0.03455508138819368,-2.4751550631818575,0.0025983119762819917,[0.05585241],-0.44847892421410496,0.0067088605523750455,-0.031097200061740538
49,-0.44585666296467913,-0.03476790957629424,-2.47238620056092,0.001461507497820369,[0.06565332],-0.44847249972686865,0.005713073125240428,-0.03127801755472511
50,-0.44589530676876193,-0.03501415311942538,-2.4674312134275023,0.0005719232699963606,[0.05485463],-0.44849625450955727,0.004693603592841725,-0.03148858227498085
51,-0.4460407530064213,-0.03532042746304082,-2.45398620721626,0.000329105363492857,[0.05764103],-0.4486520376213733,0.00418935024975256,-0.031747026933512605
52,-0.44620174189299855,-0.03570877710243666,-2.438711640935596,-2.5879896911940037e-05,[0.06074071],-0.4488161953835751,0.00345176869419013,-0.03208988044358249
53,-0.44654856859642394,-0.03621273755665683,-2.4084863905755833,-0.00011516952836942984,[0.06861567],-0.44920360563782336,0.003349531972143077,-0.03252303037992195
54,-0.4467682217022422,-0.03665332265468277,-2.38835840829253,-0.0004069940118860138,[0.06611109],-0.4494383462486351,0.0027706383209605695,-0.032920229921623405
55,-0.44679724276709876,-0.03689386456631319,-2.3838732357135397,-0.0008151748500138112,[0.04824543],-0.44945404871881534,0.0018873982438657733,-0.033150303686807575
56,-0.44683356789200507,-0.03712180371688744,-2.3788110180293693,-0.0011260232727796082,[0.08765078],-0.4494802230453127,0.0012354659376085236,-0.0333716386146396
57,-0.44678113429877364,-0.0372804747149478,-2.3809829059035383,-0.0016038883001076587,[0.04551339],-0.44940150446543675,0.0001770139222446454,-0.03353375670416705
58,-0.4468387661476263,-0.037533381848546606,-2.3743066649572757,-0.001969302720288335,[0.06962466],-0.4494516727089594,-0.0006045043801959776,-0.03377069150652326
59,-0.44686795944621854,-0.03778451911650099,-2.3699163151363543,-0.0024641176740512333,[0.07326269],-0.44946588666371473,-0.001687011481178738,-0.0340052465912224
60,-0.44653116085346667,-0.03764100746053002,-2.3952007269132487,-0.003224260548774033,[0.05517745],-0.4490576982956046,-0.003448057874891164,-0.03389813819348324
61,-0.4467141946123455,-0.03804636275286479,-2.378228364808278,-0.003582295664985996,[0.03184104],-0.4492482643118973,-0.003631252542995324,-0.034264369605225053
62,-0.44650012607420697,-0.03803254375432547,-2.3933997777218137,-0.004204719875193559,[0.04758763],-0.44898471384283717,-0.0034128568631744197,-0.03426485702538734
63,-0.4463286504549317,-0.03803950194308407,-2.405378607092416,-0.004785689798992368,[0.05815506],-0.4487703757694095,-0.003218452062703936,-0.034270506988028575
64,-0.44618446470936035,-0.03808599908503382,-2.4149191346966856,-0.005376727965854949,[0.03414559],-0.44858642030198415,-0.0030328463233419353,-0.03430263503073595
65,-0.44632962032002177,-0.038469192266383255,-2.4007149769518072,-0.005771523275668981,[0.04277825],-0.44873352867107896,-0.0029870736326444505,-0.03465308486557313
66,-0.44630270742219147,-0.03864840372450913,-2.400720273997594,-0.006294279904988369,[0.0493474],-0.44868282182924607,-0.0028538835594456927,-0.03481448108535476
67,-0.4465148098919687,-0.03910401033459893,-2.381676181148541,-0.00656287798207543,[0.07170153],-0.448917973931636,-0.002871535295365983,-0.03523585134436048
68,-0.44619939797739155,-0.038940637061281494,-2.404460884899873,-0.007240016431043689,[0.04451728],-0.4485299788857235,-0.0026005373321755024,-0.03508624105881859
69,-0.4462491872668429,-0.03922204016371245,-2.3981909624396147,-0.006961025156319044,[0.06434035],-0.44856559105682914,-0.002493760631763868,-0.035343086050082934
70,-0.4462760777645191,-0.039479023790387,-2.393460423334981,-0.0066793400650412005,[0.03739119],-0.44857619687688655,-0.002385299482087412,-0.03557727050315087
71,-0.446347278682446,-0.03977297392269017,-2.385480517070183,-0.006488892429898127,[0.04526615],-0.4486435106852855,-0.002333526131514052,-0.03584929071610315
72,-0.44623991006438485,-0.03984682648443602,-2.3917553384876604,-0.00610054000395166,[0.04699779],-0.4485054098322795,-0.0022129248084817033,-0.03591980048019581
73,-0.4457769216003269,-0.039488586623427295,-2.4263504108529927,-0.005154550536174821,[0.03318191],-0.4479542809106956,-0.001879366525864061,-0.03560971105032874
74,-0.4455550464714175,-0.039420280231627386,-2.4419178130873265,-0.004393254108443309,[0.03120565],-0.4476767353307067,-0.0016385548592258228,-0.03556195316363633
75,-0.44584639793176223,-0.04001574337973955,-2.41587888733733,-0.004377167908548821,[0.03326464],-0.44799543640408945,-0.0016898104883503393,-0.03610376723565469
76,-0.44617066201130035,-0.04065776033838649,-2.3875862063879234,-0.004336198001955671,[0.02816391],-0.44835389721538116,-0.0017402907813520996,-0.036687449807276416
77,-0.4464154294461878,-0.04119126511240432,-2.364857444872339,-0.004166738195718833,[0.04570484],-0.44861921794989773,-0.0017425183113686585,-0.03718231912609375
78,-0.4464969960732406,-0.04153087529408718,-2.3551422550475736,-0.003685626743007736,[0.01903701],-0.4486875231594332,-0.0016319583375472152,-0.03749950157880498
79,-0.44670377097801417,-0.0420177692000418,-2.335854000310994,-0.003447662797611356,[0.0639894],-0.4489071768454442,-0.0016091722918286644,-0.03793722245987459
80,-0.4465895641251144,-0.0421126993784898,-2.3416948179580412,-0.0027560101484143673,[0.0517211],-0.4487448798621094,-0.001406859050790965,-0.03803029891041487
81,-0.446737163730676,-0.04252733362737497,-2.3268553263607332,-0.0024460724864614064,[0.04006743],-0.44889572575926895,-0.0013541882512250261,-0.0383935687590914
