,mean,cvar,min,max,Q_0,mean_test,max_test,cvar_test
0,-0.430507527704244,0.0033444989956205283,-3.780008695748898,0.00639085755785283,[2.1985506e-05],-0.43124166156449484,0.00694429406067355,0.00342664834962129
1,-0.43077516746257494,-0.0007728364449612773,-3.7579839396621963,0.00039078964933712086,[0.14714879],-0.43157892761294864,0.0002587588375855155,-0.0007478144195885883
2,-0.43143042028954715,-0.0034760374273304674,-3.704021451502657,0.0036407193248038784,[0.18925703],-0.43238406842803395,0.0035328573213858237,-0.0035298705529978277
3,-0.43243971893088157,-0.007545350535231551,-3.6207811683340982,0.007654357989062911,[0.1739673],-0.43358595503201264,0.007406695963484811,-0.007461412624477394
4,-0.4334750773744715,-0.01155199422592697,-3.535512109479649,0.011196413443661147,[0.19954543],-0.4348037051483293,0.01087728721958612,-0.011174232553734306
5,-0.4345048942128158,-0.015354195520294465,-3.450573448334386,0.014865071223812427,[0.16871798],-0.43601877206720907,0.014497274780580733,-0.014733289321957032
6,-0.435698990166856,-0.01940247428786009,-3.3519391009587336,0.01916651420281292,[0.14494638],-0.43743076261666985,0.01872079011350875,-0.018588980793394244
7,-0.43685177712043877,-0.023114292401468662,-3.256696710630231,0.023272650953130407,[0.13906816],-0.43879261852014817,0.0227524105576409,-0.021989660185589444
8,-0.4380508360800276,-0.026791370580829556,-3.1575676819889105,0.0274152214962742,[0.12600592],-0.4402069618192459,0.026830670764947537,-0.02519329748666022
9,-0.4392524236588547,-0.030296819011918122,-3.058169832043336,0.03144682585082122,[0.11244187],-0.4416219491745472,0.030808197302990177,-0.028065713098125677
10,-0.4404031484007612,-0.03359297566240839,-2.9626728374581752,0.03466946312508338,[0.11867836],-0.4429652087343724,0.03405674512837859,-0.030727015482672062
11,-0.44155584151424565,-0.0366478839176407,-2.866952354297483,0.037737101390405564,[0.11696997],-0.44430619604634103,0.0371540657351208,-0.033186118683776265
12,-0.44259040908585223,-0.039284128308245216,-2.7806440613914534,0.04014168700310726,[0.10967302],-0.44550225681932953,0.03960974266158296,-0.03537033415573564
13,-0.4434332323778324,-0.04131211578018952,-2.71001019510401,0.04143666971064312,[0.11239025],-0.4464657087391936,0.04100539487374523,-0.03713388870533967
14,-0.4444440673318711,-0.04354918884826463,-2.62563133735181,0.04329654673436058,[0.10932437],-0.44762686207444946,0.04296183380064893,-0.03906426988048308
15,-0.4456846235529603,-0.04597334997523757,-2.523029279866738,0.046668607959130234,[0.08946598],-0.44907420152478267,0.04632232211020586,-0.04107110303703006
16,-0.44685219408686827,-0.04819370404843327,-2.425097303898827,0.048610000075704575,[0.07801172],-0.45041320234479487,0.04840265221073185,-0.04282695355444266
17,-0.4473838958359361,-0.049319209936643876,-2.379130459357068,0.047993494376169954,[0.07955334],-0.4510004517897436,0.04807257389794488,-0.043775187359165656
18,-0.4475844105544625,-0.04992051527069933,-2.360609296675964,0.04659711580528292,[0.05848473],-0.4512008371528096,0.046877685335465435,-0.044318082648041095
19,-0.4475772411669641,-0.05020334036685716,-2.3595905118917453,0.04477494016647534,[0.01971459],-0.4511604394584978,0.04523768208611954,-0.04460277909954423
20,-0.4478783651684821,-0.05085296933692373,-2.333711839222328,0.04391624373545375,[0.01001117],-0.45148323707428156,0.04456019849777296,-0.045159265447829715
21,-0.4479048434392572,-0.051141410524993644,-2.3299137393327998,0.042462525922486304,[0.00180435],-0.45148780491265855,0.04325747823741455,-0.04544246669273382
22,-0.4478583937526005,-0.05132310341160456,-2.3320203195645264,0.04102828025698936,[-0.00648415],-0.4514126235449033,0.04197513793448773,-0.04563414957352157
23,-0.44761203991035153,-0.05123778116758858,-2.3502849398737404,0.03913145511791297,[-0.01635826],-0.4511058326918023,0.04025240972451408,-0.04561187197770559
24,-0.44776764768535243,-0.05167104689163746,-2.3364210809741643,0.03806564013551846,[0.00332314],-0.45126222863367443,0.039318347695959696,-0.0459974847368973
25,-0.44766758006830515,-0.05175626085079641,-2.3429258689988055,0.03660925681126247,[-0.00389141],-0.45112548110373835,0.03802593368808034,-0.046105378702837506
26,-0.4475887903763236,-0.05186206306010625,-2.347800813890646,0.035038661117157345,[-0.02647163],-0.45101167250303037,0.036622162295958494,-0.04623578359318292
